kata;hira;reading;isTest
ア;あ;а;1
イ;い;и;1
ウ;う;у;1
エ;え;э;1
オ;お;о;1
ガ;が;га;1
カ;か;ка;1
ギ;ぎ;ги;1
キ;き;ки;1
グ;ぐ;гу;1
ク;く;ку;1
ゲ;げ;гэ;1
ケ;け;кэ;1
ゴ;ご;го;1
コ;こ;ко;1
ザ;ざ;дза;1
サ;さ;са;1
ジ;じ;дзи;1
シ;し;си;1
ズ;ず;дзу;1
ス;す;су;1
ゼ;ぜ;дзэ;1
セ;せ;сэ;1
ゾ;ぞ;дзо;1
ソ;そ;со;1
ダ;だ;да;1
タ;た;та;1
ヂ;ぢ;(дзи);1
チ;ち;ти;1
ヅ;づ;(дзу);1
ツ;つ;цу;1
デ;で;дэ;1
テ;て;тэ;1
ド;ど;до;1
ト;と;то;1
ナ;な;на;1
ニ;に;ни;1
ヌ;ぬ;ну;1
ネ;ね;нэ;1
ノ;の;но;1
バ;ば;ба;1
パ;ぱ;па;1
ハ;は;ха;1
ビ;び;би;1
ピ;ぴ;пи;1
ヒ;ひ;хи;1
ブ;ぶ;бу;1
プ;ぷ;пу;1
フ;ふ;фу;1
ベ;べ;бэ;1
ペ;ぺ;пэ;1
ヘ;へ;хэ;1
ボ;ぼ;бо;1
ポ;ぽ;по;1
ホ;ほ;хо;1
マ;ま;ма;1
ミ;み;ми;1
ム;む;му;1
メ;め;мэ;1
モ;も;мо;1
ヤ;や;я;1
ユ;ゆ;ю;1
ヨ;よ;ё;1
ラ;ら;ра;1
リ;り;ри;1
ル;る;ру;1
レ;れ;рэ;1
ロ;ろ;ро;1
ワ;わ;ва;1
ヲ;を;во;1
ン;ん;н;1
イェ;;е;0
ヴ;;ву;0
ウァ;;ва;0
ヴァ;;ва;0
ウィ;ゐ;ви;0
ヴィ;;ви;0
ウェ;ゑ;вэ;0
ヴェ;;вэ;0
ウォ;;во;0
ヴォ;;во;0
ウャ;;вя;0
ヴャ;;вя;0
ウュ;;вю;0
ヴュ;;вю;0
ウョ;;вё;0
ヴョ;;вё;0
キャ;きゃ;кя;0
ギャ;ぎゃ;гя;0
キュ;きゅ;кю;0
ギュ;ぎゅ;гю;0
キョ;きょ;кё;0
ギョ;ぎょ;гё;0
クァ;;(ква);0
グァ;;(гва);0
クィ;;(кви);0
グィ;;(гви);0
クゥ;;(кву);0
グゥ;;(гву);0
クェ;;(квэ);0
グェ;;(гвэ);0
クォ;;(кво);0
グォ;;(гво);0
シェ;;се;0
ジェ;;дзе;0
シャ;しゃ;ся;0
ジャ;じゃ;дзя;0
シュ;しゅ;сю;0
ジュ;じゅ;дзю;0
ショ;しょ;сё;0
ジョ;じょ;дзё;0
スィ;;сы;0
ズィ;;дзы;0
チェ;;те;0
チャ;ちゃ;тя;0
ヂャ;ぢゃ;(дя);0
チュ;ちゅ;тю;0
ヂュ;ぢゅ;(дю);0
チョ;ちょ;тё;0
ヂョ;ぢょ;(дё);0
ツァ;;ца;0
ツィ;;ци;0
ツェ;;цэ;0
ツォ;;цо;0
ティ;;ти (ты);0
ディ;;ди (ды);0
テャ;;тя (тъя);0
デャ;;дя (дъя);0
テュ;;тю (тъю);0
デュ;;дю (дъю);0
テョ;;тё (тъё);0
デョ;;дё (дъё);0
トゥ;;ту;0
ドゥ;;ду;0
ニャ;にゃ;ня;0
ニュ;にゅ;ню;0
ニョ;にょ;нё;0
ヒャ;ひゃ;хя;0
ビャ;びゃ;бя;0
ピャ;ぴゃ;пя;0
ヒュ;ひゅ;хю;0
ビュ;びゅ;бю;0
ピュ;ぴゅ;пю;0
ヒョ;ひょ;хё;0
ビョ;びょ;бё;0
ピョ;ぴょ;пё;0
ファ;;фа;0
フィ;;фи;0
フェ;;фэ;0
フォ;;фо;0
フャ;;фя;0
フュ;;фю;0
フョ;;фё;0
ホゥ;;ху;0
ミャ;みゃ;мя;0
ミュ;みゅ;мю;0
ミョ;みょ;мё;0
リェ;;ре;0
リャ;りゃ;ря;0
リュ;りゅ;рю;0
リョ;りょ;рё;0
于;;ву;0
