Kanji;Level;Grade;Strokes;UpperReading;LowerReading;MeaningEng;MeaningRus;;
日;1;1;4;ニチ, ニ, -ジッ;ひ, -び, -か;day, sun;;;
月;1;1;4;ゲツ, -ガツ;つき;month, moon;;N5;1
木;1;1;4;ボク, モク;き;tree, wood;;N4;2
山;1;1;3;サン;やま;mountain;;N3;3
川;1;1;3;セン;かわ, -がわ;river;;N2;4
田;2;1;5;デン;た, -だ;rice field;;N1;5
人;1;1;2;ジン, ニン;ひと;man, person;;;
口;1;1;3;コウ;くち, -ぐち;mouth;;;
車;1;1;7;シャ;くるま;car;;None = 0,;
門;2;2;8;モン;かど;gate;;Grade1 = 1,;
火;1;1;4;カ;ひ;fire;;Grade2 = 2,;
水;1;1;4;スイ;みず;water;;Grade3 = 3,;
金;1;1;8;キン;かね;gold, money, metal;;Grade4 = 4,;
土;1;1;3;ド;つち;soil, earth, ground;;Grade5 = 5,;
子;1;1;3;シ;こ;child;;Grade6 = 6,;
女;1;1;3;ジョ;おんな;woman, female;;KanjiForUseInNames = 7,;
学;1;1;8;ガク, ガッ-;まな-ぶ;study;;SecondarySchoolKanji = 8,;
生;1;1;5;セイ;い-きる, う-まれる;life, birth;;ChangesToThe常用漢字 = 9,;
先;1;1;6;セン;さき;previous, foregoing;;Other = 10,;
私;2;6;7;シ;わたくし, わたし;private;;;
一;1;1;1;イチ;ひと-つ;one;;;
二;1;1;2;ニ;ふた-つ;two;;;
三;1;1;3;サン;みっ-つ;three;;;
四;1;1;5;シ;よっ-つ, よん/よ;four;;;
五;1;1;4;ゴ;いつ-つ;five;;;
六;1;1;4;ロク, ロッ-;むっ-つ;six;;;
七;1;1;2;シチ;なな-つ;seven;;;
八;1;1;2;ハチ, ハッ-;やっ-つ;eight;;;
九;1;1;2;キュウ, ク;ここの-つ;nine;;;
十;1;1;2;ジュウ, ジュッ-, ジッ-;とお;ten;;;
百;1;1;6;ヒャク, -ビャク, -ピャク;-;hundred;;;
千;1;1;3;セン, -ゼン;ち;thousand;;;
万;1;2;3;マン, バン;-;ten thousand, all, every;;;
円;1;1;4;エン;-;circle, yen;;;
年;1;1;6;ネン;とし;year, age;;;
上;1;1;3;ジョウ;うえ, あ-がる, のぼ-る, あ-げる;above, up, on, superior;;;
下;1;1;3;カ, ゲ;した, さ-がる, さ-げる, くだ-る;under, down, inferior;;;
中;1;1;4;チュウ, -ジュウ;なか;inside, middle;;;
大;1;1;3;ダイ, タイ;おお-きい;large, big, great;;;
小;1;1;3;ショウ;ちい-さい, こ, お;little, small;;;
本;1;1;5;ホン;もと;root, origin, true, main;;;
半;1;2;5;ハン;なか-ば;half;;;
分;1;2;4;ブン, ブ, フン, -プン;わ-かれる, わ-かる, わ-ける;division, part, minute;;;
力;2;1;2;リョク, リキ;ちから;power, force, ability;;;
何;1;2;7;カ;なに, なん;what;;;
明;2;2;8;メイ;あか-るい, あ-ける;bright, light;;;
休;1;1;6;キュウ;やす-む;rest;;;
体;2;2;7;タイ;からだ;body;;;
好;2;4;6;コウ;す-きな, す-く;love, like, favorite;;;
男;1;1;7;ダン, ナン;おとこ;male, man;;;
林;2;1;8;リン;はやし;wood, grove;;;
森;2;1;12;シン;もり;forest, jungle;;;
間;1;2;12;カン;あいだ, ま;between, interval;;;
畑;4;3;9;-;はた, はたけ;cultivated field;;;
岩;4;2;8;ガン;いわ;rock;;;
目;1;1;5;モク;め;eye, item;;;
耳;1;1;6;ジ;みみ;ear;;;
手;1;1;4;シュ;て;hand;;;
足;1;1;7;ソク;あし, た-りる, た-す;leg, pair, sufficient;;;
雨;1;1;8;ウ;あめ;rain;;;
竹;3;1;6;チク;たけ;bamboo;;;
米;3;2;6;ベイ, マイ;こめ;rice, (for USA);;;
貝;4;1;7;バイ;かい;shellfish;;;
石;3;1;5;セキ;いし;stone;;;
糸;4;1;6;シ;いと;thread, string;;;
花;1;1;7;カ;はな;flower;;;
茶;2;2;9;チャ, サ;-;tea;;;
肉;2;2;6;ニク;-;flesh, meat;;;
文;2;1;4;ブン, モン;ふみ;pattern, letter, sentence;;;
字;2;1;6;ジ;-;letter, character;;;
物;2;3;8;ブツ, モツ;もの;thing;;;
牛;2;2;4;ギュウ;うし;cattle, cow, bull, ox;;;
馬;3;2;10;バ;うま;horse;;;
鳥;2;2;11;チョウ;とり;bird;;;
魚;1;2;11;ギョ;うお, さかな;fish;;;
新;1;2;13;シン;あたら-しい;new;;;
古;1;2;5;コ;ふる-い;old;;;
長;1;2;8;チョウ;なが-い;long, eldest, chief;;;
短;2;3;12;タン;みじか-い;short;;;
高;1;2;10;コウ;たか-い;high, expensive;;;
安;1;3;6;アン;やす-い;safe, cheap;;;
低;2;4;7;テイ;ひく-い;low;;;
暗;2;3;13;アン;くら-い;dark;;;
多;1;2;6;タ;おお-い;many, much;;;
少;1;2;4;ショウ;すく-ない, すこ-し;few, little;;;
行;1;2;6;コウ, ギョウ;い-く, おこな-う;go, conduct, line;;;
来;1;2;7;ライ;く-る, こ-ない, き-ます, き-た;come, next;;;
帰;2;2;10;キ;かえ-る;return, go (come) back;;;
食;1;2;9;ショク;た-べる;eat, food;;;
飲;1;3;12;イン;の-む;drink;;;
見;1;1;7;ケン;み-る, み-える, み-せる;see, look, view;;;
聞;1;2;14;ブン;き-く, き-こえる;hear;;;
読;1;2;14;ドク;よ-む;read;;;
書;1;2;10;ショ;か-く;write, book, document;;;
