word;level;kana reading;TranslationEng;TranslationRus;SpecialReading;KanaOnly;check this;;
会う;1;あ・う;to meet;встречаться, видеться;0;0;;;
合う;2;あ・う;to suit;соответствовать, совпадать, быть правильным;0;0;;N5;1
上がる;2;あ・がる;to go up, to rise;подниматься, взбираться, всходить, кушать;0;0;;N4;2
開く;1;あ・く, ひら・く;to open;открываться, раскрываться, освобождаться, быть свободным, открывать, учреждать, основывать, осваивать;0;0;;N3;3
明ける;3;あ・ける;(dawn) to break;светать, рассветать, открывать;0;0;;N2;4
当たる;3;あ・たる;to hit;попадать, ударяться, иметь успех, соответствовать;0;0;;N1;5
有る;3;あ・る;to exist, to have;быть, существовать, иметься (для неодушевленных);0;0;;;
愛情;3;あい・じょう;love, affection;любовь, привязанность;0;0;;;
相手;3;あい・て;an opponent, a partner;партнёр, собеседник, компаньон, оппонент;0;0;;;
赤ちゃん;2;あか・ちゃん;a baby;младенец;0;0;;;
明るい;1;あか・るい;bright, cheerful;светлый, радостный, счастливый, честный;0;0;;;
秋;1;あき;autumn;осень;0;0;;;
朝;1;あさ;morning;утро;0;0;;;
足;1;あし;a leg;нога, лапа;0;0;;;
味;2;あじ;taste;вкус;0;0;;;
味わう;4;あじ・わう;to enjoy the taste;вкусить, попробовать, пережить, испытать, чувствовать;0;0;;;
遊び;2;あそ・び;play, recreation;игра;0;0;;;
遊ぶ;1;あそ・ぶ;to play;играть, развлекаться;0;0;;;
暖かい;1;あたた・かい;warm;теплый;0;0;;;
頭;1;あたま;a head;голова;0;0;;;
新しい;1;あたら・しい;new;новый;0;0;;;
暑い;1;あつ・い;hot;жаркий;0;0;;;
熱い;1;あつ・い;hot;горячий (при касании);0;0;;;
集まる;2;あつ・まる;to gather;собираться, встречаться, накапливаться;0;0;;;
集める;2;あつ・める;to collect;собирать, созывать, коллекционировать, накапливать;0;0;;;
兄;1;あに;one's elder brother;старший брат;0;0;;;
姉;1;あね;one's elder sister;старшая сестра;0;0;;;
油;3;あぶら;oil;масло;0;0;;;
雨;1;あめ;rain;дождь;0;0;;;
洗う;1;あら・う;to wash;мыть, стирать, смывать;0;0;;;
表す;3;あらわ・す;to express;выражать, показывать;0;0;;;
現れる;3;あらわ・れる;to appear;проявляться, показываться, выявляться;0;0;;;
歩く;1;ある・く;to walk;идти, ходить пешком;0;0;;;
案;3;あん;an idea, a proposal;план, проект, идея;0;0;;;
言う;1;い・う;to say;говорить, сказать, сообщать, рассказывать;0;0;;;
以下;2;い・か;less than;нижеследующий…, меньше…, менее;0;0;;;
医学;2;い・がく;medical science;медицина (наука);0;0;;;
生きる;2;い・きる;to live;жить, быть живым;0;0;;;
意見;2;い・けん;an opinion;мнение, взгляд;0;0;;;
以後;4;い・ご;after that;после этого, в будущем, отныне;0;0;;;
意志;3;い・し;an intention;воля, стремление;0;0;;;
意識;3;い・しき;consciousness;сознание, осознание;0;0;;;
医者;1;い・しゃ;a doctor;врач, доктор;0;0;;;
以上;2;い・じょう;more than;свыше, более, сверх-, вышеуказанное;0;0;;;
以前;3;い・ぜん;previously;до, раньше, перед;0;0;;;
位置;3;い・ち;position, a location;место, расположение, координаты;0;0;;;
違反;3;い・はん;a violation of a rule;нарушение;0;0;;;
意味;1;い・み;meaning;смысл, значение;0;0;;;
要る;1;い・る;to need;требоваться, нуждаться;0;0;;;
入れる;1;い・れる;to put into;вкладывать, вставлять;0;0;;;
石;2;いし;a stone;камень;0;0;;;
急ぐ;2;いそ・ぐ;to hurry;спешить;0;0;;;
忙しい;1;いそが・しい;busy;занятый;0;0;;;
痛い;1;いた・い;painful;больно;0;0;;;
五日;1;いつ・か;the 5th day;пятое число, пять дней;0;0;;;
五つ;1;いつ・つ;five (things);пять;0;0;;;
糸;2;いと;thread;нить;0;0;;;
今;1;いま;now;сейчас;0;0;;;
妹;1;いもうと;one's younger sister;младшая сестра;0;0;;;
入口;1;いり・ぐち;an entrance;вход;0;0;;;
色;1;いろ;color;цвет;0;0;;;
岩;1;いわ;a rock;скала, риф;0;0;;;
引力;4;いん・りょく;gravitational force;притяжение, сила тяжести;0;0;;;
受ける;2;う・ける;to receive;получать, принимать;0;0;;;
打つ;2;う・つ;to hit;бить, ударять, (разг.) говорить;0;0;;;
生まれる;1;う・まれる;to be born;родиться;0;0;;;
売り場;2;う・り・ば;a sales counter;касса, место продажи;0;0;;;
売る;1;う・る;to sell;продавать;0;0;;;
動く;2;うご・く;to move;двигаться, работать (о механизме);0;0;;;
牛;3;うし;cattle;бык, корова, крупный рогатый скот;0;0;;;
後ろ;1;うし・ろ;behind, back;позади, сзади;0;0;;;
失う;3;うしな・う;to lose;терять, утратить;0;0;;;
歌;1;うた;a song;песня;0;0;;;
歌う;1;うた・う;to sing;петь;0;0;;;
写す;2;うつ・す;to copy, to take (a photograph);снимать копию, фотографировать;0;0;;;
映す;4;うつ・す;to reflect;проецировать, отражать;0;0;;;
移す;3;うつ・す;to move (something);перемещать, переносить, заражать;0;0;;;
写る;4;うつ・る;to be photographed;фотографировать, снять копию, дублировать, имитировать;0;0;;;
映る;2;うつ・る;to be reflected;отражаться (в зеркале);0;0;;;
移る;2;うつ・る;to move;переходить, переезжать, быть заразным;0;0;;;
美しい;2;うつく・しい;beautiful;красивый;0;0;;;
馬;3;うま;a horse;лошадь, конь;0;0;;;
海;1;うみ;the sea, the ocean;море;0;0;;;
運;3;うん;luck, fortune;судьба, участь;0;0;;;
笑顔;3;え・がお;a smiling face;улыбающееся лицо, улыбка;1;0;;;
映画;1;えい・が;a movie;кино, фильм;0;0;;;
映画館;1;えい・が・かん;a movie theatre;кинотеатр;0;0;;;
英語;1;えい・ご;English language;английский язык;0;0;;;
駅;1;えき;a station;станция;0;0;;;
選ぶ;2;えら・ぶ;to select, to choose;выбирать;0;0;;;
円;1;えん;a circle, yen;иена, круг;0;0;;;
遠足;4;えん・そく;a picnic;экскурсия, поездка, дальняя прогулка;0;0;;;
終える;3;お・える;to finish something;заканчивать, завершать;0;0;;;
起きる;1;お・きる;to get up, to rise;просыпаться;0;0;;;
置く;1;お・く;to set, to lay;класть, ставить;0;0;;;
起こす;2;お・こす;to cause, to wake someone up;будить, порождать, выкапывать из земли;0;0;;;
起こる;3;お・こる;to happen, to occur;случаться, происходить;0;0;;;
押す;1;お・す;to push;толкать, нажимать, давить;0;0;;;
落ちる;2;お・ちる;to fall;падать, терпеть поражение, заходить (о солнце);0;0;;;
落とす;2;お・とす;to drop;ронять, понижать, уменьшать, упускать;0;0;;;
降りる;1;お・りる;to get off;спускаться, высаживаться из транспорта;0;0;;;
終わる;1;お・わる;to end;заканчивать;0;0;;;
横断;3;おう・だん;crossing;пересечение, переход;0;0;;;
多い;2;おお・い;many, much;многочисленный, обильный, частый;0;0;;;
大きな;2;おお・きな;big;большой;0;0;;;
大家;3;おお・や;a landlord;домовладелец, арендодатель;0;0;;;
奥;3;おく;deep inside;внутренняя часть;0;0;;;
奥さん;1;おく・さん;other's wife;(вежл.) жена, супруга, замужняя женщина;0;0;;;
屋上;2;おく・じょう;the roof;на крыше;0;0;;;
送る;1;おく・る;to send;посылать, отправлять, провожать;0;0;;;
遅れる;2;おく・れる;to delay;опаздывать;0;0;;;
治める;4;おさ・める;to govern;управлять, усмирять, уладить;0;0;;;
教える;1;おし・える;to teach;преподавать, учить, объяснять;0;0;;;
遅い;1;おそ・い;late, slow;поздний, медленный;0;0;;;
弟;1;おとうと;one's younger brother;младший брат;0;0;;;
男;1;おとこ;a man;мужчина;0;0;;;
男の子;1;おとこ・の・こ;a boy;мальчик;0;0;;;
大人;1;おとな;an adult;взрослый;1;0;;;
驚く;2;おどろ・く;to be surprised;удивляться, пугаться;0;0;;;
同じ;1;おな・じ;same;одинаковый, такой же, тот же;0;0;;;
覚える;1;おぼ・える;to memorize;запоминать;0;0;;;
重い;1;おも・い;heavy;тяжелый;0;0;;;
思い出す;2;おも・い・だ・す;to recall;вспоминать;0;0;;;
思い出;3;おも・い・で;a memory;воспоминания;0;0;;;
思う;2;おも・う;to think;думать, считать, полагать, хотеть, собираться, заботиться;0;0;;;
面白い;1;おも・しろ・い;interesting;интересный, забавный;0;0;;;
親;3;おや;a parent;родители;0;0;;;
親指;4;おや・ゆび;a thumb;большой палец;0;0;;;
泳ぐ;1;およ・ぐ;to swim;плавать;0;0;;;
音楽;1;おん・がく;music;музыка;0;0;;;
温室;4;おん・しつ;a greenhouse;оранжерея, теплица, парник;0;0;;;
温泉;4;おん・せん;a hot spring;горячий минеральный источник;0;0;;;
温度;3;おん・ど;temperature;температура;0;0;;;
女;1;おんな;a woman;женщина;0;0;;;
女の子;1;おんな・の・こ;a girl;девочка;0;0;;;
買う;1;か・う;to buy;покупать;0;0;;;
変える;2;か・える;to change (something);менять, изменять;0;0;;;
画家;3;が・か;a painter;художник, живописец;0;0;;;
価格;3;か・かく;a price;цена, стоимость;0;0;;;
